step,episode,ep_reward,ep_max_x,flag_get
1024,1,15.93,306,0
1024,2,52.33,898,0
1024,3,12.13,250,0
1024,4,15.40,296,0
1024,5,50.27,861,0
1024,6,42.27,723,0
1024,7,15.80,303,0
1024,8,15.53,297,0
2048,9,46.93,812,0
2048,10,43.13,796,0
3072,11,83.40,1415,0
3072,12,47.13,804,0
3072,13,16.27,307,0
3072,14,64.80,1123,0
4096,15,44.67,783,0
4096,16,40.53,684,0
4096,17,61.00,1126,0
5120,18,41.80,799,0
6144,19,81.93,1409,0
6144,20,16.40,312,0
6144,21,15.13,293,0
6144,22,40.60,686,0
6144,23,87.80,1440,0
7168,24,66.27,1135,0
7168,25,83.80,1408,0
7168,26,12.73,258,0
7168,27,41.33,699,0
7168,28,40.40,685,0
7168,29,38.40,660,0
8192,30,51.07,868,0
8192,31,51.60,899,0
8192,32,15.60,300,0
8192,33,39.07,668,0
8192,34,49.07,854,0
9216,35,48.47,811,0
9216,36,14.27,282,0
9216,37,42.40,722,0
9216,38,51.60,898,0
9216,39,39.93,680,0
9216,40,14.47,283,0
10240,41,52.60,899,0
10240,42,48.47,834,0
10240,43,15.80,301,0
10240,44,91.07,1501,0
11264,45,64.73,1122,0
11264,46,42.53,722,0
11264,47,53.67,898,0
11264,48,12.67,258,0
11264,49,14.73,292,0
11264,50,46.87,815,0
12288,51,53.67,899,0
12288,52,52.93,899,0
12288,53,41.27,698,0
12288,54,51.00,860,0
13312,55,67.20,1136,0
13312,56,42.40,722,0
13312,57,39.60,673,0
13312,58,14.13,277,0
13312,59,39.07,665,0
13312,60,85.60,1399,0
14336,61,99.00,1656,0
14336,62,43.27,722,0
14336,63,68.13,1124,0
14336,64,14.53,282,0
15360,65,51.00,899,0
15360,66,16.47,313,0
15360,67,85.07,1419,0
15360,68,52.67,899,0
15360,69,41.13,711,0
16384,70,14.73,286,0
16384,71,66.60,1126,0
16384,72,39.80,676,0
16384,73,48.87,820,0
17408,74,109.27,1785,0
17408,75,41.27,691,0
17408,76,63.87,1127,0
18432,77,66.33,1123,0
18432,78,15.07,292,0
18432,79,16.27,309,0
18432,80,42.20,722,0
18432,81,41.47,697,0
18432,82,85.13,1416,0
18432,83,16.40,312,0
18432,84,38.40,657,0
19456,85,47.73,813,0
19456,86,40.53,682,0
19456,87,40.27,676,0
19456,88,47.80,804,0
19456,89,15.33,296,0
19456,90,41.60,700,0
20480,91,108.60,1801,0
20480,92,42.07,792,0
20480,93,16.33,309,0
20480,94,47.93,810,0
20480,95,40.33,679,0
20480,96,41.47,696,0
21504,97,49.07,824,0
21504,98,42.33,723,0
21504,99,40.93,690,0
21504,100,39.20,677,0
21504,101,16.33,311,0
21504,102,41.27,699,0
21504,103,41.13,697,0
21504,104,40.40,680,0
22528,105,52.33,887,0
22528,106,15.67,298,0
22528,107,66.80,1127,0
22528,108,15.87,302,0
22528,109,53.80,898,0
23552,110,61.73,1122,0
23552,111,39.87,682,0
23552,112,86.13,1411,0
24576,113,53.07,898,0
24576,114,15.87,305,0
24576,115,15.13,292,0
24576,116,50.67,857,0
24576,117,70.60,1231,0
24576,118,16.33,310,0
25600,119,164.40,2734,0
26624,120,41.67,699,0
26624,121,16.33,309,0
26624,122,16.00,305,0
26624,123,84.47,1429,0
27648,124,64.33,1124,0
27648,125,16.07,305,0
27648,126,53.60,898,0
27648,127,85.73,1421,0
27648,128,40.20,678,0
27648,129,40.40,682,0
28672,130,65.60,1128,0
28672,131,41.60,700,0
28672,132,53.60,898,0
28672,133,53.73,898,0
28672,134,15.60,297,0
29696,135,64.80,1125,0
29696,136,66.87,1127,0
29696,137,15.80,301,0
30720,138,94.13,1522,0
30720,139,40.80,690,0
30720,140,54.20,900,0
30720,141,15.60,297,0
30720,142,15.80,301,0
30720,143,92.53,1506,0
30720,144,16.13,305,0
30720,145,41.40,701,0
31744,146,48.13,824,0
31744,147,40.73,682,0
31744,148,14.80,287,0
31744,149,51.67,899,0
31744,150,39.80,676,0
31744,151,16.20,307,0
31744,152,41.07,694,0
31744,153,15.93,303,0
31744,154,48.07,800,0
32768,155,87.47,1418,0
32768,156,68.93,1125,0
32768,157,47.73,817,0
32768,158,68.40,1128,0
32768,159,39.27,669,0
32768,160,48.93,819,0
33792,161,41.73,704,0
33792,162,49.93,867,0
33792,163,15.60,298,0
33792,164,16.67,314,0
33792,165,50.87,870,0
33792,166,40.27,679,0
33792,167,40.20,677,0
34816,168,67.07,1128,0
34816,169,40.27,681,0
34816,170,47.53,794,0
34816,171,46.33,814,0
34816,172,40.93,691,0
34816,173,42.53,722,0
35840,174,42.40,722,0
35840,175,16.80,315,0
35840,176,42.40,722,0
35840,177,14.80,287,0
35840,178,50.47,870,0
35840,179,49.40,829,0
35840,180,50.13,836,0
36864,181,66.40,1139,0
36864,182,47.20,791,0
36864,183,16.53,312,0
36864,184,88.00,1430,0
37888,185,67.67,1139,0
37888,186,16.27,309,0
