step,episode,ep_reward,ep_length,ep_max_x,flag_get
611,1,63.20,611,1126,0
895,2,40.73,284,722,0
1057,3,41.67,162,722,0
1447,4,66.87,390,1137,0
3206,5,49.40,1759,1150,0
3375,6,42.27,169,722,0
3549,7,41.00,174,705,0
3961,8,44.27,412,803,0
4016,9,13.80,55,274,0
4125,10,43.07,109,722,0
4358,11,41.27,233,722,0
6012,12,49.53,1654,1129,0
8017,13,29.53,2005,899,0
8129,14,41.20,112,697,0
8166,15,15.40,37,295,0
9748,16,69.13,1582,1410,0
9992,17,41.27,244,722,0
10169,18,39.67,177,686,0
10275,19,38.80,106,659,0
12280,20,39.27,2005,1046,0
12313,21,16.27,33,308,0
12645,22,68.40,332,1150,0
12684,23,15.73,39,299,0
13409,24,42.33,725,837,0
13645,25,39.40,236,694,0
14658,26,59.53,1013,1153,0
15314,27,40.67,656,798,0
16053,28,46.40,739,899,0
