step,episode,ep_reward,ep_length,ep_kills,ep_max_x,died
13,1,-7.29,13,0,0.0,1
34,2,-7.03,21,0,11.4,1
76,3,-5.22,42,1,25.6,1
97,4,-6.19,21,1,11.1,1
124,5,-6.06,27,0,92.3,1
145,6,-6.13,21,1,18.4,1
166,7,-6.49,21,0,10.5,1
215,8,-6.51,49,1,73.7,1
236,9,-7.47,21,0,0.0,1
257,10,-7.94,21,1,15.6,1
307,11,-7.98,50,1,28.5,1
328,12,-7.69,21,0,40.3,1
340,13,-7.44,12,0,0.0,1
361,14,-1.41,21,0,83.2,1
382,15,-8.04,21,0,7.1,1
403,16,-6.75,21,0,4.7,1
424,17,-5.10,21,0,51.1,1
445,18,-2.73,21,0,72.5,1
466,19,-6.74,21,0,15.6,1
487,20,-7.95,21,1,10.8,1
536,21,-5.61,49,1,19.8,1
564,22,-8.01,28,1,18.5,1
585,23,-6.97,21,1,34.5,1
635,24,-7.74,50,1,27.3,1
656,25,-4.80,21,0,38.9,1
676,26,-7.56,20,1,24.3,1
697,27,-7.23,21,1,31.9,1
754,28,-6.32,57,1,30.1,1
775,29,-6.26,21,0,11.9,1
801,30,-6.26,26,0,11.9,1
820,31,-6.30,19,0,12.8,1
869,32,-6.42,49,1,49.9,1
1055,33,1.99,186,2,191.5,1
1076,34,-5.73,21,0,20.5,1
1097,35,-5.36,21,0,25.2,1
1118,36,-6.84,21,0,3.3,1
1130,37,-7.20,12,0,7.3,1
1172,38,-2.72,42,1,63.3,1
1422,39,-7.40,250,2,82.6,1
1443,40,-2.38,21,0,68.1,1
1522,41,-4.31,79,1,39.5,1
1543,42,-8.12,21,0,0.0,1
1564,43,-3.02,21,0,58.6,1
1592,44,-1.41,28,1,81.9,1
1615,45,-7.06,23,0,0.2,1
1636,46,-6.53,21,0,47.3,1
1656,47,-5.41,20,0,25.7,1
1678,48,-8.09,22,0,14.6,1
1728,49,-6.98,50,1,15.6,1
1750,50,-6.75,22,0,4.6,1
1769,51,-7.66,19,0,0.0,1
1790,52,-7.61,21,0,32.1,1
1811,53,-8.15,21,0,0.0,1
1832,54,-4.79,21,0,32.6,1
1843,55,-7.82,11,0,0.0,1
