step,episode,ep_reward,ep_length,ep_kills,ep_max_x,healthpacks_picked,health_gained,final_health,died
111,1,361.57,111,0,0.0,2,16.0,-4.0,1
244,2,453.92,133,0,0.0,3,40.0,-4.0,1
338,3,290.07,94,0,0.0,0,0.0,-4.0,1
461,4,411.49,123,0,0.0,2,32.0,-4.0,1
640,5,646.96,179,0,0.0,4,83.0,-1.0,1
766,6,424.60,126,0,0.0,2,33.0,-3.0,1
876,7,357.26,110,0,0.0,1,8.0,-4.0,1
1010,8,458.18,134,0,0.0,2,41.0,-3.0,1
1134,9,416.15,124,0,0.0,1,16.0,-4.0,1
1229,10,294.29,95,0,0.0,0,0.0,-4.0,1
1330,11,319.57,101,0,0.0,1,8.0,-4.0,1
1453,12,412.02,123,0,0.0,2,33.0,-3.0,1
1593,13,483.42,140,0,0.0,2,50.0,-2.0,1
1695,14,323.67,102,0,0.0,1,8.0,-4.0,1
1791,15,298.51,96,0,0.0,0,0.0,-4.0,1
1892,16,319.50,101,0,0.0,1,8.0,-4.0,1
1986,17,290.11,94,0,0.0,0,0.0,-4.0,1
2101,18,378.34,115,0,0.0,1,25.0,-3.0,1
2253,19,533.77,152,0,0.0,3,56.0,-4.0,1
2373,20,399.37,120,0,0.0,1,25.0,-3.0,1
2466,21,285.90,93,0,0.0,0,0.0,-4.0,1
2562,22,298.50,96,0,0.0,0,0.0,-4.0,1
2673,23,361.55,111,0,0.0,1,16.0,-4.0,1
2790,24,386.68,117,0,0.0,1,16.0,-4.0,1
2929,25,479.10,139,0,0.0,3,48.0,-4.0,1
3064,26,462.34,135,0,0.0,3,40.0,-4.0,1
3175,27,361.51,111,0,0.0,1,16.0,-4.0,1
3275,28,315.33,100,0,0.0,1,8.0,-4.0,1
3422,29,512.44,147,0,0.0,3,58.0,-2.0,1
3558,30,466.54,136,0,0.0,3,32.0,-4.0,1
3673,31,378.37,115,0,0.0,1,25.0,-3.0,1
3808,32,462.40,135,0,0.0,3,41.0,-3.0,1
3925,33,386.77,117,0,0.0,1,25.0,-3.0,1
4018,34,285.89,93,0,0.0,0,0.0,-4.0,1
4110,35,281.66,92,0,0.0,0,0.0,-4.0,1
4214,36,332.11,104,0,0.0,1,8.0,-4.0,1
4358,37,500.23,144,0,0.0,2,49.0,-3.0,1
4469,38,361.52,111,0,0.0,1,16.0,-4.0,1
4595,39,424.54,126,0,0.0,4,32.0,-4.0,1
4807,40,785.92,212,0,0.0,6,121.0,-3.0,1
4926,41,395.14,119,0,0.0,1,25.0,-3.0,1
5021,42,294.34,95,0,0.0,0,0.0,-4.0,1
5129,43,348.95,108,0,0.0,1,16.0,-4.0,1
5241,44,365.75,112,0,0.0,2,16.0,-4.0,1
5352,45,361.52,111,0,0.0,1,8.0,-4.0,1
5492,46,483.40,140,0,0.0,2,41.0,-3.0,1
5673,47,655.82,181,0,0.0,4,91.0,-1.0,1
5767,48,290.10,94,0,0.0,0,0.0,-4.0,1
5980,49,790.35,213,0,0.0,5,124.0,0.0,1
6076,50,298.51,96,0,0.0,0,0.0,-4.0,1
6216,51,483.55,140,0,0.0,2,50.0,-2.0,1
6348,52,449.80,132,0,0.0,2,41.0,-3.0,1
6466,53,390.91,118,0,0.0,1,16.0,-4.0,1
6597,54,445.64,131,0,0.0,2,41.0,-3.0,1
6780,55,664.15,183,0,0.0,4,82.0,-2.0,1
6913,56,454.02,133,0,0.0,2,41.0,-3.0,1
7017,57,332.15,104,0,0.0,1,8.0,-4.0,1
7180,58,580.15,163,0,0.0,3,75.0,-1.0,1
7283,59,327.89,103,0,0.0,1,8.0,-4.0,1
7490,60,765.13,207,0,0.0,5,116.0,0.0,1
